
AnimalID        Time              Event
100000    2014-08-04 19:36:38    Lever 1    
100000    2014-08-04 19:36:38    Lever 2    
100000    2014-08-04 19:36:38    Lever 1    
100000    2014-08-04 19:36:38    Lever 2    
100000    2014-08-04 19:36:38    Lever 1    
100000    2014-08-04 19:36:39    Lever 2    
100000    2014-08-04 19:36:39    Lever 1    
100000    2014-08-04 19:36:39    Lever 2    
100000    2014-08-04 19:36:39    Lever 1    
100000    2014-08-04 19:36:39    Lever 2    
100000    2014-08-04 19:36:40    Inject    
100000    2014-08-04 19:36:41    Lever 1    
100000    2014-08-04 19:36:41    Lever 2    
100000    2014-08-04 19:36:41    Lever 1    
100000    2014-08-04 19:36:41    Lever 2    
100000    2014-08-04 19:36:41    Lever 1    
100000    2014-08-04 19:36:42    Lever 2    
100000    2014-08-04 19:36:42    Lever 1    
100000    2014-08-04 19:36:42    Lever 2    
100000    2014-08-04 19:36:42    Lever 1    
100000    2014-08-04 19:36:42    Lever 2    
100000    2014-08-04 19:36:43    Lever 1    
100000    2014-08-04 19:36:43    Lever 2    
100000    2014-08-04 19:36:43    Lever 1    
100000    2014-08-04 19:36:43    Lever 2    
100000    2014-08-04 19:36:43    Lever 1    
100000    2014-08-04 19:36:44    Lever 2    
100000    2014-08-04 19:36:44    Lever 1    
100000    2014-08-04 19:36:44    Lever 2    
100000    2014-08-04 19:36:44    Lever 1    
100000    2014-08-04 19:36:44    Lever 2    
100000    2014-08-04 19:36:51    Lever 1    
100000    2014-08-04 19:36:51    Lever 2    
100000    2014-08-04 19:36:51    Lever 1    
100000    2014-08-04 19:36:51    Lever 2    
100000    2014-08-04 19:36:52    Lever 1    
100000    2014-08-04 19:36:52    Lever 2    
100000    2014-08-04 19:36:52    Lever 1    
100000    2014-08-04 19:36:52    Lever 2    
100000    2014-08-04 19:36:52    Lever 1    
100000    2014-08-04 19:36:53    Lever 2    
100000    2014-08-04 19:36:53    Lever 1    
100000    2014-08-04 19:36:53    Lever 2    
100000    2014-08-04 19:36:53    Lever 1    
100000    2014-08-04 19:36:53    Lever 2    
100000    2014-08-04 19:36:54    Lever 1    
100000    2014-08-04 19:36:54    Lever 2    
100000    2014-08-04 19:36:54    Lever 1    
100000    2014-08-04 19:36:54    Lever 2    
100000    2014-08-04 19:36:54    Lever 1    
100000    2014-08-04 19:36:55    Lever 2    
100000    2014-08-04 19:36:55    Lever 1    
100000    2014-08-04 19:36:55    Lever 2    
100000    2014-08-04 19:36:55    Lever 1    
100000    2014-08-04 19:36:55    Lever 2    
100000    2014-08-04 19:36:56    Lever 1    
100000    2014-08-04 19:36:56    Lever 2    
100000    2014-08-04 19:36:56    Lever 1    
100000    2014-08-04 19:36:56    Lever 2    
100000    2014-08-04 19:36:56    Lever 1    
100000    2014-08-04 19:36:57    Lever 2    
100000    2014-08-04 19:36:57    Lever 1    
100000    2014-08-04 19:36:57    Lever 2    
100000    2014-08-04 19:36:57    Lever 1    
100000    2014-08-04 19:36:57    Lever 2    
100000    2014-08-04 19:36:58    Lever 1    
100000    2014-08-04 19:36:58    Lever 2    
100000    2014-08-04 19:36:58    Lever 1    
100000    2014-08-04 19:36:58    Lever 2    
100000    2014-08-04 19:36:58    Lever 1    
100000    2014-08-04 19:36:59    Lever 2    
100000    2014-08-04 19:36:59    Lever 1    
100000    2014-08-04 19:36:59    Lever 2    
100000    2014-08-04 19:36:59    Lever 1    
100000    2014-08-04 19:36:59    Lever 2    
100000    2014-08-04 19:37:00    Lever 1    
100000    2014-08-04 19:37:00    Lever 2    
100000    2014-08-04 19:37:10    Lever 1    
100000    2014-08-04 19:37:10    Lever 2    
100000    2014-08-04 19:37:11    Lever 1    
100000    2014-08-04 19:37:11    Lever 2    
100000    2014-08-04 19:37:11    Lever 1    
100000    2014-08-04 19:37:11    Lever 2    
100000    2014-08-04 19:37:11    Lever 1    
100000    2014-08-04 19:37:12    Lever 2    
100000    2014-08-04 19:37:12    Lever 1    
100000    2014-08-04 19:37:12    Lever 2    
100000    2014-08-04 19:37:12    Inject    
100000    2014-08-04 19:37:13    Lever 1    
100000    2014-08-04 19:37:13    Lever 2    
100000    2014-08-04 19:37:14    Lever 1    
100000    2014-08-04 19:37:14    Lever 2    
100000    2014-08-04 19:37:14    Lever 1    
100000    2014-08-04 19:37:14    Lever 2    
100000    2014-08-04 19:37:14    Lever 1    
100000    2014-08-04 19:37:15    Lever 2    
100000    2014-08-04 19:37:15    Lever 1    
100000    2014-08-04 19:37:15    Lever 2    
100000    2014-08-04 19:37:15    Lever 1    
100000    2014-08-04 19:37:15    Lever 2    
100000    2014-08-04 19:37:16    Lever 1    
100000    2014-08-04 19:37:16    Lever 2    
100000    2014-08-04 19:37:16    Lever 1    
100000    2014-08-04 19:37:16    Lever 2    
100000    2014-08-04 19:37:16    Lever 1    
100000    2014-08-04 19:37:17    Lever 2    
100000    2014-08-04 19:37:17    Lever 1    
100000    2014-08-04 19:37:17    Lever 2    
100000    2014-08-04 19:37:23    Lever 1    
100000    2014-08-04 19:37:23    Lever 2    
100000    2014-08-04 19:37:24    Lever 1    
100000    2014-08-04 19:37:24    Lever 2    
100000    2014-08-04 19:37:24    Lever 1    
100000    2014-08-04 19:37:24    Lever 2    
100000    2014-08-04 19:37:24    Lever 1    
100000    2014-08-04 19:37:25    Lever 2    
100000    2014-08-04 19:37:25    Lever 1    
100000    2014-08-04 19:37:25    Lever 2    
100000    2014-08-04 19:37:25    Lever 1    
100000    2014-08-04 19:37:25    Lever 2    
100000    2014-08-04 19:37:26    Lever 1    
100000    2014-08-04 19:37:26    Lever 2    
100000    2014-08-04 19:37:26    Lever 1    
100000    2014-08-04 19:37:26    Lever 2    
100000    2014-08-04 19:37:26    Lever 1    
100000    2014-08-04 19:37:27    Lever 2    
100000    2014-08-04 19:37:27    Lever 1    
100000    2014-08-04 19:37:27    Lever 2    
100000    2014-08-04 19:37:27    Lever 1    
100000    2014-08-04 19:37:27    Lever 2    
100000    2014-08-04 19:37:28    Lever 1    
100000    2014-08-04 19:37:28    Lever 2    
100000    2014-08-04 19:37:28    Lever 1    
100000    2014-08-04 19:37:28    Lever 2    
100000    2014-08-04 19:37:28    Lever 1    
100000    2014-08-04 19:37:29    Lever 2    
100000    2014-08-04 19:37:29    Lever 1    
100000    2014-08-04 19:37:29    Lever 2    
100000    2014-08-04 19:37:29    Lever 1    
100000    2014-08-04 19:37:30    Lever 2    
100000    2014-08-04 19:37:30    Lever 1    
100000    2014-08-04 19:37:30    Lever 2    
100000    2014-08-04 19:37:30    Lever 1    
100000    2014-08-04 19:37:30    Lever 2    
100000    2014-08-04 19:37:31    Lever 1    
100000    2014-08-04 19:37:31    Lever 2    
100000    2014-08-04 19:37:31    Lever 1    
100000    2014-08-04 19:37:31    Lever 2    
100000    2014-08-04 19:37:31    Lever 1    
100000    2014-08-04 19:37:32    Lever 2    
100000    2014-08-04 19:37:32    Lever 1    
100000    2014-08-04 19:37:32    Lever 2    
100000    2014-08-04 19:37:32    Lever 1    
100000    2014-08-04 19:37:32    Lever 2    
100000    2014-08-04 19:37:43    Lever 1    
100000    2014-08-04 19:37:43    Lever 2    
100000    2014-08-04 19:37:43    Lever 1    Sum    77
100000    2014-08-04 19:37:43    Lever 2    Sum    77
100000    2014-08-04 19:37:43    Inject    Sum    2
AnimalID        Time              Event
100000    2014-08-04 19:37:57    Lever 1    
100000    2014-08-04 19:37:57    Lever 2    
